A_ki
 0   1   2   3   4   5   6   7   8   9   10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39
  1  12   8  12   6   3   7   2   1   5  11   8   3   4   1   3   4   2  10   1   1   7  17  11   1   6   3   1   3   3  11   3  10  13   2   1   4   1   4   2
  0   1   1   1   2   2   1   1   1   1   1   1   2   1   1   2   1   1   2   2   2   1   2   1   1   1   1   1   1   1   1   2   1   1   1   1   1   1   1   1
  0   4   1   2   2   1   3   2   1   3   3   2   1   3   2   3   1   4   1   3   2   6   2   2   4   1   3   1   2   2   3   2   1   3   4   3   1   7   3   2
  0  10   6   5   2   3   7   8   2   1   1  12   3   1   7   1   1   1   1   3   5  11   3   2   1   6   1   2   1   4   2   4   2   4   3   4   5   2   1   6
  0   1   2   1   1   1   1   1   1   1   1   1   1   1   1   1   1   2   1   1   4   1   1   1   1   1   1   1   1   2   1   1   1   1   2   1   1   1   3   1
  0   1   4   3   2   1   6   2   1   3   1   2   2   2   3   1   5   1  18   2  19   4   2   6   2  12   1   4   6   2   2   5   5  25  12   3   5  18   9   6
  2   5   3   1   1   1   2   1   7   1   1   3   1   1   2   2   2   2   6   8   2   3   1   1   1   2   6   1   1   5   4   1   2   4   1   1   1   1   1   5
  5   3   2   3   1  18   1   1   4   1   6   2   4   1  20   3   6   4   6   2   3  15   7   6   5   2   5  15   4   8  10   2   9   8   4   2   7   5   4  10
  5   2  11   2   5   1   1   1   1   3   4   1   1   5   5   1   3  20   1   2   2   6   3   1   6   1   1   4   2   3   3   2   2  10   2   6   5   4   3   3
  1   5   2   8   7   6   4   1  10  10   5  17   5   7   3   4   9   2   3   7   3   1   4   1   3   2   1  10  14   3  11   2   2   1   2  16  11   7   4  10
S_i
  0    1    2    3    4    5    6    7    8    9    10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   26   27   28   29   30   31   32   33   34   35   36    37   38   39
 0.0  0.0  0.0  0.0  0.0  0.0  0.0  1.0  0.0  0.0  0.0  0.0  2.0  0.0  0.0  2.0  1.0  0.0  0.0  2.0  2.0  1.0  3.0  3.0  7.0  6.0  6.0  3.0  7.0  4.0  6.0  1.0  4.0  2.0  9.0  6.0  0.0  11.0  4.0  3.0
E_i
   0     1    2    3    4     5    6    7     8     9     10   11   12    13    14   15   16    17    18    19   20   21    22    23    24    25   26    27   28    29    30   31    32   33    34    35   36    37   38   39
 15.0  10.0  5.0  8.0  0.0  11.0  6.0  4.0  10.0  14.0  15.0  0.0  6.0  15.0  10.0  2.0  9.0  11.0  13.0  11.0  8.0  3.0  13.0  11.0  14.0  12.0  9.0  12.0  9.0  12.0  13.0  3.0  15.0  7.0  11.0  13.0  2.0  13.0  9.0  4.0
M_l
   0    1    2    3    4    5
 283  191  229  196  242  277
d_ktl
array([[[2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2]],

       [[0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0]],

       [[0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3]],

       [[2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0]],

       [[0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0]],

       [[2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2]],

       [[0, 0, 2, 1, 3, 0],
        [0, 0, 2, 1, 3, 0],
        [0, 0, 2, 1, 3, 0],
        [0, 0, 2, 1, 3, 0],
        [0, 0, 2, 1, 3, 0],
        [0, 0, 2, 1, 3, 0],
        [0, 0, 2, 1, 3, 0],
        [0, 0, 2, 1, 3, 0],
        [0, 0, 2, 1, 3, 0],
        [0, 0, 2, 1, 3, 0],
        [0, 0, 2, 1, 3, 0],
        [0, 0, 2, 1, 3, 0],
        [0, 0, 2, 1, 3, 0],
        [0, 0, 2, 1, 3, 0],
        [0, 0, 2, 1, 3, 0],
        [0, 0, 2, 1, 3, 0]],

       [[3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2]],

       [[2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0]],

       [[3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
