A_ki
 0   1   2   3   4   5   6   7   8   9   10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39
  0   5   3   8   4  10   2   2   5   2   8   1   4   9   6   1   5   5   3   2   1   7   3   9   5   5  16  17   6   2   3  12   3   4   5   2  11   1   8   3
  2   2   4   1   8   3  16   3   1   5   2   2   8   5   2   4  11  11   2  13   6   1   1   2   5  16  16   7  11   1   3   7   5   6   1   5  17   7   1   1
  0   1   2   5   7   2   3   5   1   3   1   3   2   1   8   1   2   2   1   1   1   1   2   4   2   1   1   3   2   3   1   1   1   5   1   2   8   1   1   4
  2   1   6   7   2   5   1   8   3   1   4   1   9   5   1   5   6   3   2   2   3  19   2   5   1   1   3   4   4   3   3   3   4  10   5   9   5   9   1   8
 10   1   3   2   8   6   6   1   1   5   6   6   8   4   3   5   2  22   5   2   6   3   4  12   1   2  10   8   8   1   5   4   9   7   9   1   1   3   3   5
  0   1   1   2   1   1   1   1   1   1   2   1   1   1   1   1   1   1   2   1   1   1   1   2   1   1   1   1   2   1   1   2   2   1   1   1   1   1   3   1
  4   2   2   1   1   1   2   2   3   2   1   1   1   1   2   1   5   2   1   4   1   7   3   4   1   2   3   5   2   3   3   1   5   3   4   2   1   1   1   5
  0   7   7   3  10  17   5   1   2   1   1   6   1   7   2   2   6   2   9  19   3   1   5   1   3   5   5   5   2  20   6  10   6  11   3   1   4   3   2   4
  2   4   2   3   1   2   2   2   3   1   4   1   1   1   1   6  10   1   1   1   1   1   5   1   6   2   1   1   7   4   4  12   3   1   1   1   1   1   2   8
  0   1   1   2   1   3   5   1   2   1   1   6   4   1   1   1  10   2   9   1   4   3   2   5   4   3   1   4  21  10   1   6   6   1   7   6   1   1   3   2
  6   2   4   1   3   8   1   4   4   1   1   1   8   1   3   1   7   3   5   1   1   3   1   1   4   1   3   4   4   7   7   3  12   8   2   4   2   1   4   7
  3   5   7   1   4   1  20  10   1   4   3   1  15   7  15   1   2   1   2   6   2   6   6   8   1   6   1   4   3   5   8   5   2   4   6   1   2   1  23   5
  5   5  25   1   4   9   3   4   2   2   4   3   2   3   2  18  11   8   1   6   2   1   1   3   5  12   1   1   3   8   1   2   4   1   1   1   2   5   2   2
  4   4   8   1   7   2  18   2   2  10   3   2   1   1   2   7   5   8   3   1   1   2   4   5  12   1   4   1   6   1  12   3   1  14   3   1   2   4   4   4
  3   2   1   5  12   7  29   6   7   2   1   8   5   3   1   5   3   6   4  13   4   2   5   2   1   2  12  12  11   6   2   2   3   3   2   2   6   2   2   4
  2   2   2   1   2   8   1   5   5  22   1   2   4  22   5   2  11   5   4   2   9   3   1   4   2   4   8  16   2   8  14   2   2   9   8   1   2   1   3   1
 10   5   9   3   4   9  14   3   3   7   1   3   1   4  13  12   1   3  18   2   1   7   7   5   8   2   1  16   2   1   2   6   1  19   1   1   9   2   6   2
  0   4   3   1   2   2   1   1   2   1   3   2   1   5   1   8   1   6   3   4   9   3   1   1   4   4   2   2   1   3   1  10   2   1   5   3   1   2   2   4
  2   6   2   4   2   3   8  10   1   4  11   5   1   6   2  13   4   9   4   2   7   3   3   1  12   2   1   5  11   2   5  14   1  11   8   4   6   4   1   8
  0   4   2   4   3   2   3   6   1   9   6   1   2   1   1   4   7   9   2   2   2   2   1   1   6   2   9   4   8   8   2   1   1   2   1  10   1   5   1   8
S_i
  0    1    2    3    4    5    6    7    8    9    10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   26   27   28   29   30   31   32   33   34   35   36   37   38    39
 0.0  0.0  0.0  0.0  0.0  0.0  0.0  1.0  1.0  1.0  1.0  0.0  2.0  3.0  3.0  2.0  2.0  3.0  1.0  4.0  0.0  6.0  2.0  4.0  1.0  3.0  6.0  8.0  1.0  9.0  4.0  2.0  1.0  1.0  5.0  3.0  4.0  6.0  9.0  11.0
E_i
   0    1    2    3    4     5    6     7    8    9     10   11   12    13    14    15    16    17   18    19    20    21   22   23    24    25   26    27   28    29    30   31    32   33    34    35    36    37    38    39
 11.0  1.0  2.0  2.0  6.0  14.0  4.0  10.0  5.0  5.0  10.0  4.0  7.0  10.0  13.0  11.0  13.0  10.0  5.0  11.0  14.0  14.0  8.0  4.0  14.0  10.0  6.0  14.0  5.0  13.0  10.0  5.0  12.0  2.0  13.0  13.0  10.0  12.0  12.0  14.0
M_l
   0    1    2    3    4    5
 244  257  208  228  175  284
d_ktl
array([[[2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2]],

       [[3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2],
        [3, 4, 1, 1, 3, 2]],

       [[0, 0, 2, 1, 3, 0],
        [0, 0, 2, 1, 3, 0],
        [0, 0, 2, 1, 3, 0],
        [0, 0, 2, 1, 3, 0],
        [0, 0, 2, 1, 3, 0],
        [0, 0, 2, 1, 3, 0],
        [0, 0, 2, 1, 3, 0],
        [0, 0, 2, 1, 3, 0],
        [0, 0, 2, 1, 3, 0],
        [0, 0, 2, 1, 3, 0],
        [0, 0, 2, 1, 3, 0],
        [0, 0, 2, 1, 3, 0],
        [0, 0, 2, 1, 3, 0],
        [0, 0, 2, 1, 3, 0],
        [0, 0, 2, 1, 3, 0],
        [0, 0, 2, 1, 3, 0]],

       [[0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2]],

       [[2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2]],

       [[0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0]],

       [[0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3]],

       [[2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
