A_ki
 0   1   2   3   4   5   6   7   8   9   10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59
  1   1   1   2   1   2   1   1   4   2   1   1   3   2   1   2   1   2   6   4   1   1   1   6   7  10   2   1   3   3   4   5   1   1   1   1   1   2   1   2   3   4   1   1   1   1   6   1   4   8   1   2   1   4   2   2   1   1   5   2
  0   1   1   2   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   3   1   1   1   1   1   1   1   4   1   1   1   1   2   1   1   1   1   2   1   1   1   3   1   1   1   1   1   2   1   1   1   1   1   2   2   1   1   1
  3   1   4   1  24   9   5   1   3   6   6   1   8   2  11   2   4   4   1  13   7   6   2   1   1   7   8   9   1   6   3   4   2  20   2  13   8  14   2   7   1   9   6   2   1   9   2   1   1   8   6   3   2   3   1   4   5   9   3   4
  4   1   3   3   3   2   3  10   1   6   7   1   2   2   1  11   2   2  14   1   1   1   1   3   2   2   2   7   2   3   8   1  13   5   8   1  10   5   1   2   5  10   4  10   2  14   4   7   7   1  11   2   1   1   1   1   3  13   5   5
  4   6   2  12  15   1   3   5   7   9   1   5  25   1   6   6   2   5   2   2  11   1   4   5   7   4   6   2   2   8   4   4   4   1   4   3   1   1   1   2   4   8   1  10   5  19   7   1   2   2   7   3   2   7   1   1  15   2   9  12
  2   1  22   5  11   1   2   3   2   3   3   2   1   2   1   5  15   7   2   5  11   5   5   1   1   5   2   3   4   8   1   1   1   1   2   4   6   5   2   7   2   5   6   4   4   3   3  15  10  11   2   1   1   5   4   3   4   4   1   6
 10  27   4   2   1  13   6   4   7   2   3   1   5  10   8   1   4   1   1  12   2   4   2   3   5   6   2   4   3   8   1   9  11   1   2   6   2  17   1   3   3   4   6   9  14   7   5   4   2   4   4   1  11   6   2   3   6   1   2   4
  0   1   3   1   2   1   1   1   1   1   2   2   1   1   1   3   1   2   2   4   5   1   7   1   3   2   1   2   2   1   1   1   1   2   5   4   2   8   1   4   2   1   2   3   1   3   6   4   1   3   2   2   1   1   3   3   6   5   3   7
  0   1   4   1   1   1   1   1   1   1   1   1   1   1   2   1   1   1   1   1   1   1   1   1   2   1   1   1   1   2   1   2   1   1   1   3   1   1   2   2   1   1   1   1   1   2   1   1   1   1   1   1   1   1   1   1   1   1   2   1
  1   2   2   3   6  10   1   2   5   8   1   2   2   3   5   2   2   3   2   1   7   2   1   1   3   9   2   3   3   3   9   2  11   1   8   1   2   1   2   1   2   3   6   4   5   3   5   1   9  13   3   2   1   6   1   4   8   1   3   1
S_i
  0    1    2    3    4    5    6    7    8    9    10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   26   27   28   29   30   31   32   33   34   35   36   37   38   39   40   41   42   43   44   45    46   47   48   49    50   51   52    53   54    55   56    57    58   59
 0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  2.0  2.0  0.0  0.0  1.0  0.0  2.0  0.0  1.0  1.0  5.0  3.0  3.0  1.0  5.0  3.0  7.0  7.0  5.0  4.0  2.0  3.0  7.0  8.0  4.0  5.0  3.0  3.0  5.0  5.0  5.0  1.0  7.0  6.0  6.0  5.0  16.0  8.0  5.0  0.0  18.0  3.0  6.0  13.0  2.0  15.0  3.0  13.0  10.0  3.0
E_i
   0     1    2    3     4    5     6     7     8    9     10   11    12    13   14    15    16    17    18    19    20    21   22   23    24   25    26    27   28    29   30    31   32    33   34    35    36   37   38    39    40    41    42   43    44    45    46    47    48    49    50    51   52    53    54    55    56    57    58   59
 10.0  17.0  6.0  8.0  11.0  7.0  12.0  23.0  13.0  0.0  10.0  8.0  23.0  20.0  6.0  18.0  18.0  12.0  23.0  14.0  13.0  22.0  6.0  6.0  14.0  9.0  16.0  23.0  5.0  17.0  2.0  13.0  9.0  17.0  4.0  11.0  12.0  7.0  7.0  13.0  20.0  21.0  17.0  8.0  10.0  19.0  18.0  18.0  21.0  21.0  20.0  21.0  7.0  16.0  10.0  20.0  16.0  20.0  14.0  3.0
M_l
   0    1    2    3    4    5
 291  183  203  187  171  176
d_ktl
array([[[0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3]],

       [[0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0],
        [0, 0, 2, 1, 0, 0]],

       [[2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2]],

       [[0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2]],

       [[3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4]],

       [[0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
        [0, 3, 2, 4, 0, 2],
