A_ki
 0   1   2   3   4   5   6   7   8   9   10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  62  63  64  65  66  67  68  69  70  71  72  73  74  75  76  77  78  79
  7   3   2   1   5   2   7   5   3   3   1   2   3  16   4   6   1   6   4   3   8   3  13   9   6   5   2   1  21   6  10   1   2   2   5   4   3   6  10   1   3  10   1   4   1   2   1   5   2   2   1  11   7   5   2   5  24   5   3   4  10   4   1  21   9  13   1   4   6   4   5   1   3   6  10   6   5   2   4   1
  1   1   1   1   1   2   4   1   4   4   3   3   7   8   1   1  11   2   1   2   3   4   7   1   1   4   5   1   2   4   1   1   2   2   5   1   4   7   3   1   1  10   8   1   1   1   2   4   8   1   5   6   2   3   1   1   6   3   6   1   6   1   6   4  17   8   2   1   4   8   3   3  12   4   3   1   7   2   1   6
  0   2   4   2   2   3   1   5   1   1   1   1   5   4   3   2   3   3   2   2   1   1   1   1   2   2   1   7   2   2   2   4   1   3   1   1   1   4   1   1   2   2   1   1   1   2   4   1   3   1   4   2   3   4   4   3   2   4   8   2   2   1   1   6   2   7   1   1   2   4   1   1   3   1   2   1   7   5   1   3
  3   2   5   9   5   2   2   7   2   7   1   3   4   5   4   6   2  20   5   4   6   3   1   1   1   2   1   3   4   5   4   9   6   2   5   8   4   9   1   5  16   1   1   2  17  11   5  14   7   3   3   7   4   5   1   5   2   6   5   1   7  10   7   1  10   1   2   9  10   1   3   5  18   3  18   2  11   1   1   2
  1   3   7   5   2   3   1   5   1   2   2   9   4  14   2  15   9   5  18   6   2   1   3  31   1   1   1   4   1  31   1   1   6   2   8   1   2   5   1   5   7   6   3   7   3  11   4   1   7   3  16  11   1   2   4   2   5   4  10   6   8   2   2   4   8   2   1   3   1   2   4   3  12   1   2   2   2   4  15   3
  2   1   5   7   7   1   2   1  14   1   5   6   3   6   1   3   3   2   5   1   2   1   2   6   2   1   4  10   5   2  17   3   9   3   1   2   4   5   9   1   1   6   1  12   1  25   1   1   5   5   2   3  11   2  11   1   5   1   1   1   6  10   3   3   1  11   4  17   1   2   8   1   1   1   9   2   4   1   1   5
  3   8  20   9   3   3   9   9   2   1   1   4   3   4   3   2   4   6   4  12   6   1   1   3   3   2   1   2   3  13   8   8   6   5   7   1   3   1   1   1   1   2   1  12   4   1  22   7   1   1   6  11   5   2   1   1   8   2  15   6   9   2   3   8   1   2   5   3   3   5  13  16   5   4   3   6  10  14   6   3
  4   4   3   4   4   1   5   2   5   2  10   4   9  10   3   7   4   6   1   3   5   6   3   8   6   8   2   1   4   2   1   4   8   1  10   2   2   6   8   4   6   4   2   3   6   6   3   4   2   9   5   1   1   6   5   1   9   3   5   7   1   4   2   2   4   2   2   2   3  13   3   1   1   2  19   2   5   8   1   5
 10   1   1  11   2   4  15   2   2   2  11   3   9  12   5   3   9   4  13   9   2   2   3   6   1   1   1   5   1   5   3   4   5   1   2   1   1   2   5   9   3   4   6   2   2   3   3   4   3   1   6   2   1   6  16   2   2   2   1   3   3   3   1   1   8   8  13   2   3   3   2   2  12   2   1   3   5  12   7   1
  0   3   1   1   1   3   1   1   1   4   3   1   4   6   2   8  13   2   1   2   3   3  10   5   1   4   3   3   2  16   5   6   2   1   3   2   2   4   3   1   5   7   2   2   2   2   4   4  11   3   9   8   3   4   1   6   3   5   3   2   1   1   1   4   3   1   9   6   3   9   2   4   5   2   1   1   2   1   1   8
S_i
  0    1    2    3    4    5    6    7    8    9    10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   26   27   28   29   30   31   32   33   34   35   36    37   38    39    40    41    42   43    44   45   46    47   48   49   50   51   52   53   54    55   56    57   58    59   60   61   62   63    64   65   66    67    68    69   70   71   72    73    74   75   76   77    78   79
 0.0  0.0  0.0  0.0  0.0  0.0  0.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  2.0  1.0  1.0  4.0  2.0  6.0  5.0  2.0  5.0  1.0  7.0  3.0  0.0  3.0  3.0  6.0  3.0  9.0  4.0  7.0  6.0  2.0  8.0  10.0  7.0  10.0  11.0  10.0  12.0  6.0  15.0  5.0  1.0  10.0  9.0  6.0  3.0  2.0  9.0  1.0  5.0  14.0  2.0  19.0  6.0  13.0  7.0  1.0  5.0  4.0  12.0  6.0  4.0  25.0  19.0  14.0  1.0  8.0  3.0  13.0  14.0  3.0  7.0  7.0  16.0  1.0
E_i
  0     1     2     3     4     5    6    7    8     9    10    11    12    13   14    15   16   17    18    19   20   21   22    23    24    25    26    27    28    29   30    31    32    33    34   35    36    37   38    39    40    41    42    43    44    45    46    47    48    49    50   51    52   53    54    55   56    57    58    59    60    61   62   63    64    65    66    67    68    69    70    71    72    73    74    75    76    77    78    79
 6.0  19.0  22.0  17.0  13.0  12.0  8.0  1.0  6.0  25.0  3.0  30.0  12.0  25.0  7.0  10.0  4.0  7.0  20.0  28.0  7.0  9.0  7.0  25.0  12.0  14.0  26.0  28.0  17.0  28.0  4.0  24.0  15.0  16.0  11.0  4.0  29.0  17.0  9.0  20.0  13.0  14.0  20.0  31.0  23.0  22.0  16.0  17.0  31.0  17.0  16.0  6.0  20.0  6.0  24.0  15.0  5.0  21.0  15.0  25.0  31.0  17.0  6.0  4.0  16.0  17.0  14.0  29.0  19.0  15.0  26.0  24.0  30.0  15.0  29.0  12.0  25.0  19.0  24.0  21.0
M_l
   0    1    2    3    4    5
 135  281  227  258  227  172
d_ktl
array([[[3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4]],

       [[2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0],
        [2, 0, 2, 4, 1, 0]],

       [[0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3],
        [0, 0, 1, 2, 0, 3]],

       [[2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2],
        [2, 3, 2, 1, 3, 2]],

       [[3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
        [3, 1, 2, 0, 3, 4],
